,gw,manager,entry,points,picks
23,1,honeybadger_03,1,62.5,"(('Pickford', '2'), ('Botman', '5'), ('Estupiñan', '7'), ('Shaw', '5'), ('B.Fernandes', '4.5'), ('Mitoma', '5'), ('Rice', '2'), ('Saka', '20'), ('Caicedo', '0'), ('Wilson', '5'), ('João Pedro', '7'))"
24,1,player1,1,62.5,"(('Steele', '2'), ('Estupiñan', '7'), ('Stones', '0'), ('Shaw', '5'), ('Walker', '6'), ('White', '1.5'), ('Saka', '20'), ('Maddison', '9'), ('Havertz', '2'), ('Garnacho', '3'), ('João Pedro', '7'))"
25,1,alexburgerson,1,60.5,"(('Steele', '2'), ('Tarkowski', '2'), ('Estupiñan', '7'), ('Guéhi', '6'), ('Nakamba', '2'), ('Trossard', '1'), ('Chukwuemeka', '1'), ('Bernardo', '4.5'), ('Haaland', '26'), ('Edouard', '7'), ('Maupay', '2'))"
26,1,Byron Adams,1,60.0,"(('Steele', '2'), ('Estupiñan', '7'), ('Shaw', '5'), ('Saliba', '5'), ('Rashford', '6'), ('Saka', '15'), ('Bowen', '9'), ('Mac Allister', '1'), ('Adebayo', '2'), ('Raúl', '1'), ('João Pedro', '7'))"
27,1,pannafc,1,59.5,"(('Fabianski', '0'), ('Estupiñan', '7'), ('Lamptey', '0'), ('Stones', '0'), ('Botman', '5'), ('Caicedo', '0'), ('Mitoma', '5'), ('Reed', '3'), ('Bernardo', '3'), ('Haaland', '26'), ('João Pedro', '10.5'))"
28,1,Supa Diski,1,59.5,"(('Steele', '2'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Dalot', '0'), ('Souček', '7'), ('Baptiste', '1'), ('Reed', '3'), ('Anderson', '1'), ('B.Fernandes', '4.5'), ('Haaland', '26'), ('João Pedro', '7'))"
29,1,hiyajosephina,1,58.5,"(('Pickford', '2'), ('Chilwell', '7'), ('Gabriel', '1'), ('Kaboré', '1'), ('Garnacho', '3'), ('Saka', '20'), ('Martinelli', '5'), ('B.Fernandes', '4.5'), ('Souček', '7'), ('Darwin', '1'), ('João Pedro', '7'))"
30,1,jettfuel,2,57.5,"(('Steele', '2'), ('Veltman', '1'), ('Burn', '2'), ('Saliba', '5'), ('Botman', '5'), ('Martinelli', '7.5'), ('Rice', '2'), ('Casemiro', '3'), ('Garnacho', '3'), ('Enciso', '1'), ('Haaland', '26'))"
31,1,roshr23@,1,56.5,"(('Steele', '2'), ('Guéhi', '6'), ('Baldock', '2'), ('Aké', '7'), ('B.Fernandes', '4.5'), ('Saka', '20'), ('Foden', '3'), ('Antony', '3'), ('Nketiah', '8'), ('Calvert-Lewin', '0'), ('Raúl', '1'))"
32,1,cully,1,54.5,"(('Ramsdale', '2'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Chilwell', '7'), ('Guéhi', '6'), ('Martinelli', '10'), ('Eze', '4.5'), ('Rashford', '3'), ('Nakamba', '2'), ('Wilson', '5'), ('João Pedro', '7'))"
33,1,invc49,1,53.5,"(('Pickford', '2'), ('J.Timber', '0'), ('Dunk', '2'), ('Henry', '4'), ('Baldock', '2'), ('Rashford', '6'), ('Martinelli', '5'), ('Barnes', '16.5'), ('Saka', '10'), ('J.Alvarez', '5'), ('Osula', '1'))"
34,1,llewwp,1,53.5,"(('Onana', '9'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Stones', '0'), ('Anderson', '1'), ('Rashford', '4.5'), ('Saka', '20'), ('Foden', '3'), ('Kluivert', '1'), ('Calvert-Lewin', '0'), ('João Pedro', '7'))"
35,1,takeadunk,4,53.0,"(('Pickford', '2'), ('Botman', '5'), ('White', '1'), ('Saliba', '5'), ('Veltman', '1'), ('Pinnock', '1'), ('Mbeumo', '7'), ('Kluivert', '1'), ('Gross', '3'), ('Douglas Luiz', '1'), ('Haaland', '26'))"
36,1,chiefmatt,1,52.5,"(('Onana', '9'), ('Gabriel', '1'), ('Stones', '0'), ('Holgate', '0'), ('Rashford', '6'), ('Diaby', '7'), ('Eze', '3'), ('Havertz', '2'), ('Nketiah', '8'), ('Wissa', '9'), ('Ferguson', '7.5'))"
37,1,paradise-prince,1,52.5,"(('Onana', '9'), ('Estupiñan', '7'), ('Saliba', '5'), ('J.Timber', '0'), ('Dunk', '2'), ('Rashford', '6'), ('Rice', '2'), ('Mitoma', '5'), ('B.Fernandes', '4.5'), ('João Pedro', '7'), ('J.Alvarez', '5'))"
38,1,dayle__,1,51.0,"(('Onana', '9'), ('Pau', '0'), ('Botman', '5'), ('Martinez', '0'), ('Akanji', '6'), ('Saka', '15'), ('B.Fernandes', '3'), ('Enciso', '1'), ('Mitoma', '5'), ('Welbeck', '2'), ('Watkins', '5'))"
39,1,eksteenvd@yahoo.com,2,51.0,"(('Areola', '3'), ('Baldock', '2'), ('Van Hecke', '2'), ('Zinchenko', '0'), ('Gabriel', '1'), ('Saliba', '5'), ('Salah', '10'), ('Rodrigo', '13'), ('Richarlison', '2'), ('Saka', '10'), ('Welbeck', '3'))"
40,1,amyalicehare,1,50.5,"(('Fabianski', '0'), ('Holgate', '0'), ('Andersen', '0'), ('Mings', '0'), ('Rashford', '4.5'), ('Rice', '2'), ('Rodrigo', '13'), ('Casemiro', '3'), ('Haaland', '26'), ('Maupay', '2'), ('Taylor', '0'))"
41,1,daniel,2,49.5,"(('Pickford', '2'), ('Schär', '2'), ('Dunk', '2'), ('Perišić', '1'), ('Barnes', '11'), ('Maddison', '9'), ('Foden', '4.5'), ('Bowen', '9'), ('G.Jesus', '0'), ('Morris', '8'), ('Moore', '1'))"
42,1,paradise-prince,4,49.5,"(('Steele', '2'), ('Trippier', '2'), ('Shaw', '5'), ('Gabriel', '1'), ('James', '2'), ('Rúben', '0'), ('B.Fernandes', '6'), ('Martinelli', '7.5'), ('Garnacho', '3'), ('Nketiah', '8'), ('Isak', '13'))"
43,1,Ambeweml,1,49.0,"(('Ortega Moreno', '0'), ('Stones', '0'), ('Cresswell', '0'), ('Akanji', '6'), ('Rúben', '0'), ('Bernardo', '3'), ('Rodrigo', '13'), ('Douglas Luiz', '1'), ('Haaland', '26'), ('Rodriguez', '0'), ('Broja', '0'))"
44,1,daniel,3,49.0,"(('Ederson M.', '6'), ('Stones', '0'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Foden', '3'), ('Eze', '3'), ('Saka', '10'), ('Trossard', '1'), ('Vinícius', '0'), ('João Pedro', '7'), ('Antonio', '1'))"
45,1,swaghettiyolognese14,2,49.0,"(('Steele', '2'), ('Alexander-Arnold', '1'), ('Wan-Bissaka', '12'), ('Estupiñan', '7'), ('Rashford', '6'), ('Anderson', '1'), ('Saka', '10'), ('Baptiste', '1'), ('Nakamba', '2'), ('João Pedro', '7'), ('G.Jesus', '0'))"
46,1,the_rebels,1,48.5,"(('Onana', '9'), ('Trippier', '2'), ('Gabriel', '1'), ('Saliba', '5'), ('Estupiñan', '7'), ('Shaw', '5'), ('Trossard', '1.5'), ('Rashford', '6'), ('Eze', '3'), ('João Pedro', '7'), ('Welbeck', '2'))"
47,1,ScouZA,1,47.5,"(('Onana', '9'), ('White', '1'), ('Gabriel', '1'), ('Estupiñan', '7'), ('Shaw', '5'), ('Trossard', '1.5'), ('Bowen', '9'), ('Douglas Luiz', '1'), ('Mac Allister', '1'), ('Watkins', '10'), ('Gakpo', '2'))"
48,1,takeadunk,1,47.5,"(('Leno', '12'), ('Pinnock', '1'), ('Lamptey', '0'), ('Botman', '5'), ('B.Fernandes', '3'), ('Mbeumo', '7'), ('Martinelli', '10'), ('Foden', '4.5'), ('Kluivert', '1'), ('Welbeck', '2'), ('Gakpo', '2'))"
49,1,nathan,1,47.0,"(('Pickford', '2'), ('Saliba', '5'), ('Colwill', '2'), ('Kaboré', '1'), ('Bell', '0'), ('Richarlison', '3'), ('Nakamba', '2'), ('L.Paquetá', '1'), ('Haaland', '26'), ('J.Alvarez', '5'), ('Brewster', '0'))"
50,1,maleast,1,46.5,"(('Steele', '2'), ('Estupiñan', '7'), ('Akanji', '6'), ('J.Timber', '0'), ('Gabriel', '1'), ('Foden', '4.5'), ('Saka', '20'), ('Havertz', '2'), ('Trossard', '1'), ('Mac Allister', '1'), ('Welbeck', '2'))"
51,1,paradise-prince,3,45.5,"(('Steele', '2'), ('Burn', '2'), ('Bell', '0'), ('Veltman', '1'), ('Botman', '5'), ('Saka', '10'), ('Rashford', '4.5'), ('Garnacho', '3'), ('B.Fernandes', '6'), ('Martinelli', '5'), ('João Pedro', '7'))"
52,1,PèdroTop51,2,45.5,"(('Pickford', '2'), ('Mings', '0'), ('Gabriel', '1'), ('White', '1'), ('Bruno G.', '1.5'), ('Souček', '7'), ('Garnacho', '3'), ('Casemiro', '3'), ('Haaland', '26'), ('Vinícius', '0'), ('Antonio', '1'))"
53,1,jettfuel,5,44.0,"(('Steele', '2'), ('Trippier', '3'), ('J.Timber', '0'), ('James', '2'), ('Enzo', '1'), ('B.Fernandes', '3'), ('Martinelli', '10'), ('Joelinton', '2'), ('Wissa', '9'), ('João Pedro', '7'), ('J.Alvarez', '5'))"
54,1,Nico Celento,9,43.5,"(('Onana', '9'), ('Alexander-Arnold', '1'), ('James', '2'), ('Estupiñan', '7'), ('Mitoma', '7.5'), ('Mbeumo', '7'), ('B.Fernandes', '6'), ('Reed', '3'), ('Calvert-Lewin', '0'), ('Mubama', '0'), ('Antonio', '1'))"
55,2,CR7FC,1,93.5,"(('Martinez', '8'), ('Chilwell', '1'), ('Saliba', '8'), ('Estupiñan', '11'), ('Luis Díaz', '7'), ('Salah', '10'), ('Saka', '4.5'), ('Mbeumo', '16'), ('Diogo J.', '12'), ('Wissa', '11'), ('Watkins', '5'))"
56,2,DokotelaVuyo,10,82.5,"(('Martinez', '8'), ('Wan-Bissaka', '1'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Saliba', '8'), ('Luis Díaz', '14'), ('Son', '3'), ('Diogo J.', '12'), ('Salah', '7.5'), ('Mitoma', '12'), ('Nketiah', '5'))"
57,2,keaselebano125,1,81.5,"(('Martinez', '8'), ('Alexander-Arnold', '2'), ('White', '7'), ('Estupiñan', '11'), ('Saka', '3'), ('Luis Díaz', '10.5'), ('Mbeumo', '16'), ('Salah', '10'), ('Rashford', '2'), ('Nketiah', '5'), ('J.Alvarez', '7'))"
58,2,luke.wav,1,81.5,"(('Flekken', '6'), ('Chilwell', '1'), ('Estupiñan', '11'), ('Baldock', '0'), ('Ødegaard', '11'), ('Saka', '4.5'), ('Mitoma', '12'), ('Mbeumo', '16'), ('Haaland', '4'), ('Watkins', '5'), ('Wissa', '11'))"
59,2,hiyajosephina,13,80.5,"(('Turner', '2'), ('Henry', '5'), ('Saliba', '8'), ('Estupiñan', '11'), ('Salah', '7.5'), ('Mbeumo', '16'), ('Mitoma', '12'), ('Saka', '3'), ('Haaland', '4'), ('J.Alvarez', '7'), ('Nketiah', '5'))"
60,2,innocentmali,1,80.0,"(('Sanchez', '2'), ('Saliba', '8'), ('Konsa', '6'), ('Estupiñan', '11'), ('Salah', '10'), ('Diogo J.', '12'), ('Kovačić', '3'), ('Mbeumo', '16'), ('Haaland', '3'), ('Isak', '2'), ('J.Alvarez', '7'))"
61,2,KloppinSquad 2.0,1,80.0,"(('Turner', '2'), ('Estupiñan', '11'), ('Virgil', '2'), ('Saliba', '8'), ('Rodrigo', '3'), ('Luis Díaz', '7'), ('Mbeumo', '16'), ('Salah', '10'), ('Wissa', '11'), ('J.Alvarez', '7'), ('Haaland', '3'))"
62,2,swaghettiyolognese14,3,79.5,"(('Martinez', '8'), ('Alexander-Arnold', '2'), ('Chilwell', '1'), ('Wan-Bissaka', '1'), ('Estupiñan', '11'), ('Saka', '3'), ('Salah', '10'), ('March', '15'), ('Ødegaard', '16.5'), ('Luis Díaz', '7'), ('Watkins', '5'))"
63,2,hiyajosephina,15,79.0,"(('Turner', '2'), ('Henry', '5'), ('Saliba', '8'), ('Estupiñan', '11'), ('Trossard', '0'), ('Diaby', '3'), ('March', '15'), ('Mbeumo', '16'), ('João Pedro', '0'), ('J.Alvarez', '14'), ('Nketiah', '5'))"
64,2,DokotelaVuyo,5,78.5,"(('Neto', '10'), ('Wan-Bissaka', '1'), ('Chilwell', '1'), ('Estupiñan', '11'), ('Mbeumo', '16'), ('Salah', '10'), ('Luis Díaz', '10.5'), ('Rodrigo', '3'), ('Mitoma', '12'), ('Isak', '2'), ('Haaland', '2'))"
65,2,ScouZA,1,78.0,"(('Flekken', '6'), ('Disasi', '0'), ('Estupiñan', '11'), ('Saliba', '8'), ('Saka', '3'), ('Mbeumo', '16'), ('Mitoma', '12'), ('Salah', '10'), ('Mac Allister', '-2'), ('Haaland', '3'), ('Wissa', '11'))"
66,2,DokotelaVuyo,4,77.5,"(('Pope', '3'), ('Disasi', '0'), ('Chilwell', '1'), ('Saliba', '8'), ('Diogo J.', '12'), ('Salah', '10'), ('March', '15'), ('Luis Díaz', '10.5'), ('Mitoma', '12'), ('Nketiah', '5'), ('N.Jackson', '1'))"
67,2,hooverharn,1,75.5,"(('Sanchez', '2'), ('Saliba', '8'), ('Chilwell', '1'), ('Digne', '10'), ('Diaby', '3'), ('Saka', '3'), ('March', '15'), ('Salah', '10'), ('Wissa', '11'), ('Watkins', '7.5'), ('Nketiah', '5'))"
68,2,swaghettiyolognese14,1,75.5,"(('Martinez', '8'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Henry', '5'), ('Saka', '3'), ('March', '15'), ('Mbeumo', '16'), ('Salah', '7.5'), ('Haaland', '4'), ('João Pedro', '0'), ('Nketiah', '5'))"
69,2,jordandirkse27,1,75.0,"(('Sanchez', '2'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Saliba', '8'), ('Saka', '3'), ('Mbeumo', '16'), ('Mitoma', '12'), ('Salah', '10'), ('Garnacho', '2'), ('Haaland', '3'), ('Awoniyi', '7'))"
70,2,hiyajosephina,10,74.5,"(('Turner', '2'), ('Henry', '5'), ('Estupiñan', '11'), ('Saliba', '8'), ('March', '15'), ('Mbeumo', '16'), ('Salah', '5'), ('Saka', '4.5'), ('Souček', '2'), ('Haaland', '4'), ('Isak', '2'))"
71,2,hiyajosephina,12,74.5,"(('Onana', '2'), ('Shaw', '1'), ('Chilwell', '1'), ('Estupiñan', '11'), ('March', '15'), ('Mitoma', '12'), ('Mbeumo', '16'), ('Diaby', '3'), ('Haaland', '4'), ('Watkins', '7.5'), ('Isak', '2'))"
72,2,DokotelaVuyo,2,73.0,"(('Turner', '2'), ('White', '7'), ('Alexander-Arnold', '2'), ('Estupiñan', '11'), ('Ødegaard', '11'), ('B.Fernandes', '1'), ('March', '15'), ('Diogo J.', '18'), ('Haaland', '4'), ('João Pedro', '0'), ('Cunha', '2'))"
73,2,hiyajosephina,9,72.5,"(('A.Becker', '2'), ('Henry', '5'), ('Estupiñan', '11'), ('Saliba', '8'), ('March', '15'), ('Mbeumo', '16'), ('Rashford', '2'), ('Saka', '4.5'), ('Maddison', '3'), ('Haaland', '4'), ('Isak', '2'))"
74,2,swaghettiyolognese14,2,72.5,"(('Ramsdale', '6'), ('James', '0'), ('Saliba', '8'), ('Estupiñan', '11'), ('Diaby', '3'), ('Rashford', '2'), ('Mitoma', '12'), ('Mbeumo', '16'), ('Martinelli', '3'), ('Watkins', '7.5'), ('Haaland', '4'))"
75,2,fpljonnas,3,72.0,"(('Martinez', '8'), ('Chilwell', '1'), ('Henry', '5'), ('Estupiñan', '11'), ('Shaw', '1'), ('Salah', '10'), ('Eze', '2'), ('Mbeumo', '16'), ('Diogo J.', '12'), ('Diaby', '3'), ('Haaland', '3'))"
76,2,vha_vee,1,72.0,"(('Turner', '2'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Cash', '6'), ('Diaby', '3'), ('Luis Díaz', '7'), ('Mitoma', '12'), ('Salah', '10'), ('Mbeumo', '16'), ('N.Jackson', '1'), ('Haaland', '3'))"
77,2,bossnate,1,71.5,"(('A.Becker', '2'), ('Chilwell', '1'), ('Henry', '5'), ('Estupiñan', '11'), ('Diaby', '3'), ('Saka', '3'), ('Mbeumo', '16'), ('Salah', '7.5'), ('Mitoma', '12'), ('Watkins', '10'), ('N.Jackson', '1'))"
78,2,hiyajosephina,11,71.5,"(('A.Becker', '2'), ('Henry', '5'), ('Estupiñan', '11'), ('Saliba', '8'), ('March', '15'), ('Mbeumo', '16'), ('Rashford', '2'), ('Saka', '4.5'), ('Souček', '2'), ('Haaland', '4'), ('Isak', '2'))"
79,2,abee,1,70.5,"(('Onana', '2'), ('Wan-Bissaka', '1'), ('Akanji', '7'), ('Estupiñan', '11'), ('Mbeumo', '16'), ('Salah', '5'), ('Rodrigo', '3'), ('Saka', '3'), ('Haaland', '4'), ('Wissa', '11'), ('Nketiah', '7.5'))"
80,2,Millanho,1,70.5,"(('Sanchez', '2'), ('Alexander-Arnold', '2'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Diogo J.', '24'), ('Mitoma', '12'), ('Maddison', '3'), ('Saka', '3'), ('Awoniyi', '10.5'), ('Edouard', '2'), ('João Pedro', '0'))"
81,2,Austen Jephtha,1,70.0,"(('Turner', '2'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Saliba', '8'), ('Diaby', '3'), ('Saka', '3'), ('Gibbs-White', '2'), ('Salah', '10'), ('Mbeumo', '16'), ('Haaland', '3'), ('Wissa', '11'))"
82,2,gunner89,1,70.0,"(('Martinez', '8'), ('Alexander-Arnold', '2'), ('Chilwell', '1'), ('James', '0'), ('Luis Díaz', '7'), ('Mbeumo', '16'), ('Martinelli', '3'), ('Diogo J.', '18'), ('J.Alvarez', '14'), ('N.Jackson', '1'), ('João Pedro', '0'))"
83,2,n00bsl@y@69,1,69.5,"(('Martinez', '8'), ('Estupiñan', '11'), ('Alexander-Arnold', '2'), ('Chilwell', '1'), ('Salah', '10'), ('Saka', '4.5'), ('Mbeumo', '16'), ('Luis Díaz', '7'), ('Nketiah', '5'), ('João Pedro', '0'), ('Watkins', '5'))"
84,2,Emilio24,1,69.0,"(('A.Becker', '2'), ('Saliba', '8'), ('Konaté', '2'), ('Digne', '10'), ('Diaby', '3'), ('Salah', '10'), ('Mitoma', '12'), ('Martinelli', '3'), ('Mbeumo', '16'), ('João Pedro', '0'), ('Haaland', '3'))"
85,2,mcdonald_madonsela,1,69.0,"(('A.Becker', '2'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Henry', '5'), ('Diaby', '3'), ('Mbeumo', '16'), ('Martinelli', '3'), ('Mitoma', '18'), ('N.Jackson', '1'), ('Haaland', '4'), ('Nketiah', '5'))"
86,2,amyalicehare,1,68.5,"(('A.Becker', '2'), ('Walker', '6'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Diaby', '3'), ('Foden', '9'), ('Salah', '7.5'), ('Mbeumo', '16'), ('Souček', '2'), ('Haaland', '4'), ('Awoniyi', '7'))"
87,2,DokotelaVuyo,6,68.5,"(('Ederson M.', '6'), ('Alexander-Arnold', '2'), ('Gabriel', '1'), ('Aina', '0'), ('Luis Díaz', '7'), ('Salah', '7.5'), ('Mitoma', '12'), ('Ødegaard', '11'), ('Nketiah', '10'), ('Awoniyi', '7'), ('Watkins', '5'))"
88,2,Glass Dome 🔮,1,68.5,"(('Ramsdale', '6'), ('Estupiñan', '11'), ('Trippier', '2'), ('Shaw', '1'), ('Saka', '3'), ('March', '15'), ('Mitoma', '12'), ('Rashford', '2'), ('Almirón', '2'), ('Haaland', '4'), ('Awoniyi', '10.5'))"
89,2,hiyajosephina,7,68.5,"(('Ederson M.', '6'), ('Chilwell', '1'), ('Estupiñan', '11'), ('Walker', '6'), ('Diogo J.', '12'), ('Saka', '4.5'), ('March', '15'), ('Diaby', '3'), ('Haaland', '4'), ('N.Jackson', '1'), ('Watkins', '5'))"
90,2,honeybadger_03,1,68.5,"(('Ramsdale', '6'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Diop', '1'), ('Mbeumo', '16'), ('Saka', '4.5'), ('Mitoma', '12'), ('Foden', '9'), ('Rashford', '2'), ('Haaland', '4'), ('Isak', '2'))"
91,2,moola_faeem,1,68.5,"(('Sanchez', '2'), ('Chilwell', '1'), ('Saliba', '8'), ('Henry', '5'), ('Luis Díaz', '7'), ('Salah', '10'), ('Saka', '4.5'), ('Foden', '9'), ('Mbeumo', '16'), ('Darwin', '1'), ('Nketiah', '5'))"
92,2,DokotelaVuyo,1,68.0,"(('José Sá', '1'), ('Disasi', '0'), ('Estupiñan', '11'), ('Chilwell', '1'), ('March', '15'), ('Martinelli', '3'), ('Luis Díaz', '7'), ('Salah', '10'), ('Mitoma', '12'), ('Gakpo', '3'), ('Watkins', '5'))"
93,2,maankykersfc,1,68.0,"(('Turner', '2'), ('Estupiñan', '11'), ('Chilwell', '1'), ('Alexander-Arnold', '2'), ('March', '15'), ('Mbeumo', '16'), ('Salah', '10'), ('Diaby', '3'), ('João Pedro', '0'), ('Haaland', '3'), ('Nketiah', '5'))"
