first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Harry,Howell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Andrey,Nascimento dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ângelo Gabriel,Borges Damaceno,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Benoît,Badiashile,0,0,7,332,5,12.6,66.0,0.0,0,35,7.9,0,0,0,0.1,42,DEF
Lucas,Bergström,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,GK
Moisés,Caicedo Corozo,1,3,85,2991,39,525.6,562.0,82.0,3,572,116.9,10,0,10,1.0,49,MID
Cesare,Casadei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Trevoh,Chalobah,3,1,90,1805,23,121.8,468.4,218.0,11,359,81.1,6,0,2,0.8,44,DEF
Carney,Chukwuemeka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47,MID
Levi,Colwill,1,1,86,2790,38,210.4,598.6,152.0,3,375,96.3,8,0,8,2.8,44,DEF
Marc,Cucurella Saseta,4,2,107,2628,35,328.1,556.2,322.0,9,432,120.9,7,1,8,11.0,54,DEF
David Datro,Fofana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,FWD
Deivid Washington,de Souza Eugênio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,FWD
Kiernan,Dewsbury-Hall,0,1,17,253,3,47.4,55.4,21.0,1,67,12.4,0,0,0,0.1,55,MID
Enzo,Fernández,5,8,119,2586,34,1049.5,688.6,466.0,9,616,220.6,8,0,7,3.8,47,MID
Conor,Gallagher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59,MID
Alfie,Gilchrist,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Malo,Gusto,0,1,56,1813,24,367.4,318.6,145.0,2,271,83.2,4,0,4,1.4,49,DEF
Reece,James,1,1,36,830,13,180.9,161.8,45.0,4,164,38.9,1,0,1,1.1,48,DEF
Omari,Kellyman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Roméo,Lavia,0,1,19,604,10,114.3,101.0,5.0,0,94,22.2,2,0,4,0.4,45,MID
Romelu,Lukaku Bolingoli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,63,FWD
Malang,Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Noni,Madueke,7,5,111,1718,26,414.0,459.6,936.0,12,399,181.1,4,0,3,3.2,60,MID
Marc,Guiu Paz,0,0,3,71,2,11.8,4.4,6.0,0,11,2.2,0,0,0,0.5,47,FWD
Mykhailo,Mudryk,0,0,7,145,2,31.5,23.2,31.0,0,26,8.5,0,0,0,0.2,61,MID
Nicolas,Jackson,10,6,121,2114,22,365.3,536.0,936.0,17,421,182.6,10,0,7,6.7,77,FWD
Christopher,Nkunku,3,2,60,904,16,204.9,230.2,339.0,5,190,77.1,2,0,2,2.1,57,MID
Cole,Palmer,14,10,197,2833,38,1140.5,974.6,947.0,32,867,306.3,8,0,6,35.5,106,MID
Đorđe,Petrović,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,GK
