first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Bashir,Humphreys,0,0,10,212,4,6.2,42.6,12.0,0,40,6.0,1,0,1,0.1,39,DEF,2.6
Jordan,Beyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Lucas,Pires Silva,0,0,8,366,8,88.3,51.6,21.0,0,28,16.0,1,1,0,0.2,38,DEF,2.1
Shurandy,Sambo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Oliver,Sonne,1,0,11,128,4,17.5,42.2,23.0,0,18,8.2,0,0,0,0.3,38,DEF,2.9
Axel,Tuanzebe,0,0,18,706,17,8.6,149.8,0.0,0,59,16.0,1,0,1,1.1,39,DEF,4.6
Joe,Worrall,0,0,7,154,3,0.8,42.4,2.0,0,19,4.6,0,0,0,0.2,38,DEF,1.8
Jaidon,Anthony,4,2,62,1184,24,216.5,272.2,247.0,5,216,73.5,3,0,3,2.1,51,MID,12.2
Manuel,Benson Hedilazio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Jacob,Bruun Larsen,0,1,31,844,22,163.6,98.6,123.0,0,94,38.5,3,0,0,0.0,53,MID,5.8
Enock,Agyei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47,MID,0.0
Darko,Churlinov,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Josh,Cullen,2,2,70,1513,29,218.1,342.0,98.0,8,321,66.0,3,0,2,1.4,50,MID,14.0
Marcus,Edwards,0,1,15,273,4,132.9,57.2,89.0,0,63,27.7,1,0,0,0.1,47,MID,3.2
Hannibal,Mejbri,0,2,22,395,10,105.2,56.0,30.0,0,89,19.1,1,0,3,0.1,47,MID,4.7
Luca,Koleosho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Josh,Laurent,1,0,36,918,23,75.4,181.6,68.0,1,146,32.6,1,0,3,0.0,48,MID,7.5
Loum,Tchaouna,1,1,31,726,11,74.7,79.0,90.0,0,100,24.3,2,0,1,0.0,49,MID,6.3
Aaron,Ramsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,44,MID,0.0
Oluwaseun,Adewumi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jaydon,Banel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Mike,Trésor Ndayishimiye,0,0,4,19,1,0.4,0.6,2.0,0,10,0.3,0,0,0,0.1,44,MID,0.9
Zian,Flemming,5,0,42,660,10,58.6,209.0,207.0,3,157,46.8,2,0,3,0.5,53,FWD,7.9
Zeki,Amdouni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,FWD,0.0
Lyle,Foster,2,1,36,866,19,107.0,128.4,127.0,4,132,35.8,3,0,2,0.8,49,FWD,7.3
Ashley,Barnes,0,0,2,9,1,0.3,0.2,7.0,0,6,0.8,0,0,0,1.2,42,FWD,0.5
Michael,Obafemi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
Martin,Dúbravka,0,0,60,1755,38,0.0,529.8,0.0,5,250,53.2,3,0,0,33.5,40,GK,15.0
Lesley,Ugochukwu,3,1,57,1183,24,103.5,240.2,164.0,5,211,50.5,3,1,0,0.1,50,MID,11.4
Armando,Broja,1,1,29,533,19,55.0,90.6,172.0,2,85,32.0,1,0,0,0.2,52,FWD,5.6
Florentino Ibrain,Morris Luís,0,1,45,1178,26,140.0,237.8,33.0,0,209,41.3,2,0,3,0.0,50,MID,9.0
Oliver,Pimlott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Norberto,Murara Neto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,0.0
Đorđe,Petrović,0,0,55,1710,35,0.0,405.4,0.0,1,214,40.7,5,0,1,4.9,45,GK,12.2
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,40,GK,0.0
Callan,McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Illia,Zabarnyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
Marcos,Senesi Barón,0,3,81,1578,34,248.1,617.4,99.0,6,266,96.5,5,0,6,14.8,48,DEF,16.9
Adam,Smith,0,1,20,522,12,28.3,56.2,18.0,0,50,10.2,2,0,1,0.2,44,DEF,4.5
Adrien,Truffert,0,1,65,1668,32,295.2,398.6,81.0,7,254,77.4,5,0,3,2.0,45,DEF,14.4
Matai,Akinmboni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Owen,Bevan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
James,Hill,0,0,22,392,5,5.5,73.4,49.0,0,73,12.8,2,0,1,0.6,39,DEF,5.6
Julián,Araujo Zúñiga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,38,DEF,0.0
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Julio,Soler Barreto,0,0,3,34,2,2.5,1.8,2.0,0,2,0.6,0,0,0,0.2,40,DEF,0.8
Justin,Kluivert,2,0,38,841,15,263.5,139.6,126.0,3,137,52.8,4,0,4,0.8,70,MID,5.4
Antoine,Semenyo,9,5,113,1620,33,331.7,514.8,588.0,14,361,143.6,5,0,4,45.5,77,MID,14.7
Marcus,Tavernier,4,2,79,1516,31,386.4,349.0,290.0,8,292,102.7,6,0,3,2.5,56,MID,14.1
Tyler,Adams,2,1,50,1196,23,74.0,266.2,105.0,3,245,44.7,4,0,5,0.3,50,MID,10.0
David,Brooks,1,1,37,840,14,285.3,174.4,360.0,4,151,80.6,4,0,6,0.2,50,MID,7.4
Ryan,Christie,1,1,18,287,7,58.0,79.4,84.0,0,68,22.3,0,0,1,0.1,49,MID,3.7
Lewis,Cook,0,0,15,394,12,108.3,88.0,10.0,0,83,20.8,0,1,0,0.0,49,MID,3.1
Philip,Billing,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Alex,Scott,1,1,56,1245,23,176.9,221.0,124.0,3,255,51.7,5,0,2,0.2,50,MID,11.2
Luis,Sinisterra Lucumí,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Hamed,Traorè,0,1,4,16,2,10.0,21.2,0.0,0,12,3.1,0,0,0,0.3,45,MID,0.9
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Zain,Silcott-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
Ben,Winterburn,0,0,1,6,2,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID,0.2
Francisco Evanilson,de Lima Barbosa,2,3,49,1270,24,182.6,110.0,378.0,2,169,66.7,5,0,1,1.5,70,FWD,7.0
Enes,Ünal,1,0,11,69,1,3.6,38.0,43.0,1,37,8.2,0,0,1,0.0,54,FWD,2.0
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
Junior,Kroupi,5,0,42,489,14,71.6,198.4,223.0,4,196,49.2,2,0,1,3.8,46,FWD,9.1
Ben,Gannon-Doak,0,1,7,53,1,14.0,21.2,11.0,0,22,4.7,0,0,0,0.0,48,MID,1.5
Bafodé,Diakité,0,0,43,1260,26,54.3,262.8,22.0,2,158,34.0,4,0,1,0.3,43,DEF,10.0
Remy,Rees-Dottin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
Amine,Adli,1,0,21,403,9,85.3,112.4,107.0,0,92,30.2,0,0,0,0.0,54,MID,3.9
Álex,Jiménez Sánchez,0,2,30,977,22,90.4,149.8,73.0,0,110,31.2,2,0,4,0.1,45,DEF,6.7
Veljko,Milosavljevic,0,0,17,365,6,13.9,98.4,10.0,0,57,12.2,1,0,0,0.0,44,DEF,3.9
Malcom,DaCosta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Reiss,Nelson,0,0,5,42,1,3.5,16.4,12.0,0,19,3.1,0,0,0,0.1,48,MID,1.0
Dango,Ouattara,3,4,64,1061,15,96.5,183.6,309.0,6,176,58.4,3,0,3,0.4,58,MID,11.0
Caoimhín,Kelleher,0,0,66,1710,26,10.0,450.4,0.0,2,269,46.2,4,0,1,8.7,45,GK,14.7
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK,0.0
Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
Julian,Eyestone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK,0.0
Hákon Rafn,Valdimarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,GK,0.0
Nathan,Collins,0,0,66,1636,25,68.5,464.0,184.0,5,220,71.9,4,0,4,1.6,49,DEF,13.5
Keane,Lewis-Potter,2,1,59,818,13,122.5,168.0,138.0,3,163,42.8,5,0,1,2.3,49,DEF,12.0
Kristoffer,Ajer,0,2,37,791,13,28.2,191.8,112.0,1,104,33.3,2,0,1,0.2,44,DEF,8.4
Rico,Henry,0,1,27,608,10,31.2,56.8,22.0,0,62,10.9,2,0,2,0.1,43,DEF,6.3
Michael,Kayode,0,1,57,1657,25,280.9,343.2,65.0,6,273,69.0,4,0,4,0.7,45,DEF,12.7
Ethan,Pinnock,0,0,4,228,5,1.1,62.8,12.0,0,21,7.6,0,0,1,0.1,42,DEF,1.0
Mads,Roerslev Rasmussen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Sepp,van den Berg,0,0,52,1530,25,31.7,341.4,173.0,0,190,54.7,3,0,1,1.0,45,DEF,11.6
Benjamin,Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Aaron,Hickey,0,0,25,423,5,10.1,50.6,35.0,0,73,9.6,2,0,1,0.5,40,DEF,6.2
Kim,Ji-soo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Jayden,Meghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Kevin,Schade,6,2,73,1492,18,216.3,364.4,463.0,5,247,104.5,5,0,5,2.1,71,MID,10.3
Mikkel,Damsgaard,1,3,51,1041,17,364.3,250.8,126.0,3,217,74.2,2,0,0,0.6,58,MID,8.8
Antoni,Milambo,0,0,1,45,3,1.8,4.0,0.0,0,5,0.6,0,0,0,0.0,52,MID,0.2
Fábio,Freitas Gouveia Carvalho,1,0,13,100,4,6.5,39.0,36.0,1,42,8.1,0,0,0,0.1,47,MID,2.8
Jordan,Henderson,1,3,56,1309,19,268.1,262.6,41.0,5,248,57.1,4,0,4,0.5,50,MID,11.2
Vitaly,Janelt,0,1,34,578,5,133.8,132.4,55.0,2,136,31.9,3,0,2,0.1,49,MID,6.9
Mathias,Jensen,2,0,35,626,9,101.0,139.4,57.0,0,152,29.6,2,0,1,0.1,49,MID,7.1
Gustavo,Nunes Fernandes Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Frank,Onyeka,0,2,12,88,2,13.6,28.4,4.0,0,41,4.6,0,0,0,0.0,48,MID,2.5
Yehor,Yarmoliuk,0,2,54,1384,22,173.5,225.0,60.0,0,232,45.8,4,0,3,0.1,50,MID,10.8
Romelle,Donovan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
Yunus Emre,Konak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,MID,0.0
Paris,Maghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Igor Thiago,Nascimento Rodrigues,11,1,91,1581,24,157.5,496.4,542.0,12,336,119.6,4,0,3,26.0,69,FWD,13.2
Iwan,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44,FWD,0.0
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42,GK,0.0
Bart,Verbruggen,0,0,59,1755,27,10.0,501.6,0.0,3,318,51.1,4,0,3,5.9,45,GK,13.1
Tom,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK,0.0
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Olivier,Boscagli,0,0,9,142,1,10.2,39.0,2.0,2,40,5.2,1,0,1,0.1,42,DEF,2.1
Diego,Coppola,0,0,10,193,3,3.7,42.4,2.0,0,32,4.8,1,0,2,0.1,42,DEF,2.4
Maxim,De Cuyper,2,0,47,865,15,281.8,184.0,115.0,6,176,58.1,3,0,1,2.4,43,DEF,10.9
Lewis,Dunk,0,1,40,1620,26,52.1,316.4,69.0,0,217,43.9,3,0,7,0.9,45,DEF,8.9
Pervis,Estupiñán Tenorio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Ferdi,Kadıoğlu,0,1,46,1467,22,199.3,215.8,103.0,1,216,52.1,4,0,4,0.3,44,DEF,10.5
Tariq,Lamptey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF,0.0
Jan Paul,van Hecke,3,1,70,1665,27,91.4,545.6,178.0,4,269,81.7,3,0,4,4.5,45,DEF,15.6
Joël,Veltman,1,0,22,538,9,50.8,151.4,45.0,1,75,24.8,0,0,3,0.2,43,DEF,5.1
Adam,Webster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF,0.0
Eiran,Cashin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Jacob,Slater,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Charlie,Tasker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,38,DEF,0.0
Mitoma,Kaoru,1,1,24,637,8,174.4,111.4,135.0,0,83,41.7,1,0,1,1.9,61,MID,3.9
Georginio,Rutter,2,4,56,1235,13,231.3,190.8,299.0,2,198,72.1,5,0,2,0.6,56,MID,10.0
Solly,March,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,58,MID,0.0
Yankuba,Minteh,1,8,79,1543,23,419.0,290.2,414.0,6,296,112.6,6,0,0,5.4,60,MID,13.2
Julio,Enciso Espínola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Brajan,Gruda,1,1,30,589,10,166.4,112.2,126.0,2,90,40.2,1,0,2,0.1,54,MID,5.6
Jack,Hinshelwood,1,2,29,500,11,49.9,94.0,50.0,1,109,19.6,1,0,0,0.1,51,MID,5.7
